Date,Day,Holiday,Type
2026-01-01,Thursday,New Year's Day,Restricted
2026-01-14,Wednesday,Makar Sankranti / Pongal,Restricted
2026-01-26,Monday,Republic Day,National
2026-02-15,Sunday,Maha Shivaratri,Gazetted
2026-03-04,Wednesday,Holi,Gazetted
2026-03-21,Saturday,Id-ul-Fitr (tentative),Gazetted
2026-03-31,Tuesday,Mahavir Jayanti,Gazetted
2026-04-03,Friday,Good Friday,Gazetted
2026-04-14,Tuesday,Ambedkar Jayanti / Tamil New Year,Gazetted
2026-05-01,Friday,Buddha Purnima / Labour Day,Gazetted
2026-06-26,Friday,Muharram (tentative),Gazetted
2026-08-15,Saturday,Independence Day,National
2026-08-28,Friday,Raksha Bandhan,Restricted
2026-09-14,Monday,Hindi Diwas,Restricted
2026-10-02,Friday,Gandhi Jayanti,National
2026-10-20,Tuesday,Dussehra (Vijayadashami),Gazetted
2026-11-08,Sunday,Diwali (Deepavali),Gazetted
2026-11-14,Saturday,Children's Day,Restricted
2026-11-24,Tuesday,Guru Nanak Jayanti,Gazetted
2026-12-25,Friday,Christmas Day,Gazetted
